SerieKey,Time,Value
9,2013,50.81245485
9,2014,52.57275327
9,2015,51.68351902
9,2016,51.32715046
9,2017,51.00629641
9,2018,50.68924926
9,2019,50.52496294
9,2020,50.39181876
9,2021,50.25136261
10,1992,25.74609751
10,1993,27.73858352
10,1994,29.31042554
10,1995,31.67342817
10,1996,33.56123384
10,1997,32.66203505
10,1998,35.2002437
10,1999,40.09651498
10,2000,42.05957256
10,2001,49.4355017
10,2002,152.1117611
10,2003,128.5611363
10,2004,117.1163315
10,2005,66.9382125
10,2006,58.62217153
10,2007,50.84169722
10,2008,43.85298813
10,2009,53.82841657
10,2010,42.62350559
10,2011,38.0628684
10,2012,39.43388942
10,2013,42.1953788
10,2014,43.58667433
10,2015,52.13093383
10,2016,51.75072247
10,2017,50.71643511
10,2018,51.19901452
10,2019,50.49489175
10,2020,49.32228718
10,2021,48.86000016
11,1990,16.45483196
11,1991,21.63606475
11,1992,27.6575876
11,1993,30.65990841
11,1994,31.76982742
11,1995,31.13151676
11,1996,29.31351695
11,1997,25.92467452
11,1998,23.75575526
11,1999,22.57592395
11,2000,19.57025221
11,2001,17.1796289
11,2002,15.0632676
11,2003,13.21992184
11,2004,11.94340202
11,2005,10.89321332
11,2006,9.966901724
11,2007,9.682675959
11,2008,11.74364878
11,2009,16.74659932
11,2010,20.4812913
11,2011,24.20051045
11,2012,27.79823766
11,2013,30.82911052
11,2014,34.32283047
11,2015,37.63774914
11,2016,40.94293471
11,2017,43.24512712
11,2018,43.45482991
11,2019,42.30054175
11,2020,40.63049707
11,2021,39.00582038
12,1990,56.05689207
12,1991,56.25980271
12,1992,56.15310424
12,1993,60.76451952
12,1994,63.86340966
12,1995,68.01662359
12,1996,67.95924071
12,1997,63.19433529
12,1998,63.60626304
12,1999,66.426177
12,2000,65.86421334
12,2001,66.48380682
12,2002,66.29132851
12,2003,65.49203006
12,2004,64.80241188
12,2005,68.31451188
12,2006,67.04418376
12,2007,64.80821996
12,2008,68.51767801
12,2009,79.72583086
12,2010,82.38979729
12,2011,82.19313457
12,2012,81.62440756
12,2013,80.79886446
12,2014,84.25378292
12,2015,86.19267554
12,2016,84.87028898
12,2017,83.71280978
12,2018,82.27749124
12,2019,80.58649875
12,2020,78.91506365
