Key,Indicator Name
2809945,"Revenue (% of GDP)"
2809943,"Primary net lending/borrowing (also referred as primary balance) (% of GDP)"
2809939,"Net debt (% of GDP)"
2922871,"Expenditure (% of GDP)"
2922875,"Gross debt (% of GDP)"
2809941,"Net lending/borrowing (also referred as overall balance) (% of GDP)"
2809933,"Cyclically adjusted balance (% of potential GDP)"
2809935,"Cyclically adjusted primary balance (% of potential GDP)"
